ticker,sector,earn_date,entry_date,exit_date,buy_price,sell_price,shares,cost,proceeds,pnl,net_return,exit_reason,holding_sessions,gap,surprise_pct,year,slip_cost
TSN,Consumer Staples,2022-02-07,2022-02-08,2022-02-14,87.21986133304104,83.29587240564994,57,4971.532095983339,4747.864727122047,-223.66736886129183,-0.04498962584230326,struct_stop,4,0.10318249285759662,52.74,2022,9.7191828749194
KR,Consumer Staples,2022-03-03,2022-03-04,2022-04-01,49.55313476859854,52.36962080383301,100,4955.313476859854,5236.9620803833,281.6486035234466,0.05683769651277948,time_stop,20,0.05833495576904513,23.19,2022,10.192567398414077
EPAM,Information Technology,2022-08-04,2022-08-05,2022-08-26,405.60521221923824,422.1474373168945,12,4867.262546630859,5065.769247802735,198.50670117187565,0.04078405454196887,trail_stop,15,0.06807556826340111,39.1,2022,9.933240234375
IT,Information Technology,2022-08-02,2022-08-03,2022-08-31,295.17488488769527,285.3643439025879,16,4722.798158203124,4565.8295024414065,-156.96865576171786,-0.033236367615896434,struct_stop,20,0.06387960628582712,32.97,2022,9.28847998046875
CIEN,Information Technology,2022-12-08,2022-12-09,2022-12-09,52.152098472595206,50.04989847564697,95,4954.449354896545,4754.740355186462,-199.70899971008294,-0.04030902031780936,struct_stop,0,0.16813127569064856,684.06,2022,9.708999710083008
UBER,Industrials,2023-02-08,2023-02-09,2023-02-10,36.92688938903808,34.365601524353025,135,4985.130067520141,4639.356205787658,-345.77386173248306,-0.06936105117604052,struct_stop,1,0.07249279852956003,286.66,2023,9.624150123596191
PHM,Consumer Discretionary,2023-01-31,2023-02-01,2023-02-17,55.2748456654455,53.49363311164016,90,4974.736109890095,4814.426980047614,-160.30912984248062,-0.032224649971638875,struct_stop,12,0.08097690206304153,24.4,2023,9.789012569820438
UBER,Industrials,2023-05-02,2023-05-03,2023-06-01,36.78675,38.44151954269409,135,4966.211249999999,5189.6051382637015,223.39388826370214,0.04498275989844425,time_stop,20,0.06963954375104509,111.86,2023,10.156049938201905
TXT,Industrials,2023-07-27,2023-07-28,2023-08-25,76.7651181725135,74.92829260253906,64,4912.967563040864,4795.4107265625,-117.55683647836395,-0.023927867418200965,time_stop,20,0.059941616489771476,21.48,2023,9.708270441037328
CIEN,Information Technology,2023-08-31,2023-09-01,2023-09-06,50.6105613746643,47.642308628082276,98,4959.835014717101,4668.946245552063,-290.88876916503796,-0.05864888011433789,struct_stop,2,0.12627434620499045,16.14,2023,9.6285
TGT,Consumer Staples,2023-11-15,2023-11-16,2023-12-15,116.19874386769338,126.0906410522461,42,4880.347242443122,5295.806924194336,415.4596817512138,0.08512912321854249,time_stop,20,0.13800894136461883,41.91,2023,10.176579802899013
PH,Industrials,2024-02-01,2024-02-02,2024-03-04,487.8502547958169,523.3877094726563,10,4878.502547958169,5233.877094726563,355.3745467683939,0.07284500587524168,time_stop,20,0.05963407509477059,16.89,2024,10.11274512997663
RL,Consumer Discretionary,2024-02-08,2024-02-09,2024-03-11,164.9655085550876,172.20407313537598,30,4948.965256652628,5166.1221940612795,217.15693740865117,0.04387926084482774,time_stop,20,0.11166242403709181,17.53,2024,10.11531472296604
LDOS,Industrials,2024-04-30,2024-05-01,2024-05-30,136.55052570514644,141.7108542022705,36,4915.8189253852715,5101.5907512817375,185.771825896466,0.037790616114263376,time_stop,20,0.05675443343622133,34.97,2024,10.017605466098374
GRMN,Consumer Discretionary,2024-05-01,2024-05-02,2024-05-31,158.25870819958934,157.79805290222168,31,4906.01995418727,4891.739639968872,-14.280314218397507,-0.002910773774209563,time_stop,20,0.06077382288558786,40.28,2024,9.797755111597034
BMY,Health Care,2024-07-26,2024-07-29,2024-07-31,45.53796942928742,43.4532132647548,110,5009.176637221616,4779.853459123028,-229.32317809858796,-0.0457806132038866,struct_stop,2,0.0662689511849166,27.37,2024,9.788810561977108
SWK,Industrials,2024-07-30,2024-07-31,2024-08-01,98.10605317082626,93.88899543130778,51,5003.408711712139,4788.338766996697,-215.06994471544203,-0.04298468446361381,struct_stop,1,0.07985080169565495,30.25,2024,9.79154220030632
KVUE,Consumer Staples,2024-08-06,2024-08-07,2024-09-05,19.073104775011135,20.910285976409913,261,4978.080346277906,5457.584639842988,479.50429356508175,0.09632313265566417,time_stop,20,0.10775138914410465,15.65,2024,10.436154926569385
LDOS,Industrials,2024-10-29,2024-10-30,2024-11-14,184.8074779826584,173.7809804487427,27,4989.801905531777,4692.086472116052,-297.7154334157249,-0.059664780095913694,struct_stop,11,0.07229134633280809,45.29,2024,9.68160034381476
IP,Materials,2024-10-31,2024-11-01,2024-12-02,51.37184448908692,54.74225723648071,97,4983.068915441431,5309.998951938629,326.93003649719776,0.0656081707969387,time_stop,20,0.07097691873289191,74.83,2024,10.29340509082165
HWM,Industrials,2024-11-06,2024-11-07,2024-12-06,113.96320573878637,117.75893898010254,44,5014.3810525066,5181.393315124512,167.0122626179118,0.03330665557106505,time_stop,20,0.08702025717620288,24.17,2024,10.195951575845307
